block,trial,bgr,wgr,style,stim,loc,time,stim,loc,time,*
1,1,1,1,1,!m2one,"0,0,1",0,~ PLEASE WAIT,"1280,520,1",4000,*
1,2,1,2,1,!m2two,"0,0,1",0,#instructions,"880,520,2","rt: 16,25",*
1,3,2,1,1,!m2one,"0,0,1",0,~ PLEASE WAIT,"1280,520,2",4000,*
1,4,2,2,1,!M7two,"0,0,1",0,#instructions,"880,520,3","rt: 16,25",*
1,5,3,1,1,!M7one,"0,0,1",0,~ PLEASE WAIT,"1280,520,3",4000,*
1,6,3,2,1,!m2two,"0,0,1",0,#instructions,"880,520,4","rt: 16,25",*
1,7,4,1,1,!Ttone,"0,0,1",0,~ PLEASE WAIT,"1280,520,4",4000,*
1,8,4,2,1,!m2two,"0,0,1",0,#instructions,"880,520,5","rt: 16,25",*
1,9,5,1,1,!M7one,"0,0,1",0,~ PLEASE WAIT,"1280,520,5",4000,*
1,10,5,2,1,!TTtwo,"0,0,1",0,#instructions,"880,520,6","rt: 16,25",*
2,11,6,1,1,!M7one,"0,0,1",0,~ PLEASE WAIT,"1280,520,6",4000,*
2,12,6,2,1,!M6two,"0,0,1",0,#instructions,"880,520,7","rt: 25,16",*
2,13,7,1,1,!Ttone,"0,0,1",0,~ PLEASE WAIT,"1280,520,7",4000,*
2,14,7,2,1,!M6two,"0,0,1",0,#instructions,"880,520,8","rt: 25,16",*
2,15,8,1,1,!Ttone,"0,0,1",0,~ PLEASE WAIT,"1280,520,8",4000,*
2,16,8,2,1,!M3two,"0,0,1",0,#instructions,"880,520,9","rt: 25,16",*
2,17,9,1,1,!m2one,"0,0,1",0,~ PLEASE WAIT,"1280,520,9",4000,*
2,18,9,2,1,!P5two,"0,0,1",0,#instructions,"880,520,10","rt: 25,16",*
2,19,10,1,1,!Ttone,"0,0,1",0,~ PLEASE WAIT,"1280,520,10",4000,*
2,20,10,2,1,!P5two,"0,0,1",0,#instructions,"880,520,11","rt: 25,16",*
3,21,11,1,1,!M3one,"0,0,1",0,~ PLEASE WAIT,"1280,520,11",4000,*
3,22,11,2,1,!m2two,"0,0,1",0,#instructions,"880,520,12","rt: 25,16",*
3,23,12,1,1,!M6one,"0,0,1",0,~ PLEASE WAIT,"1280,520,12",4000,*
3,24,12,2,1,!TTtwo,"0,0,1",0,#instructions,"880,520,13","rt: 25,16",*
3,25,13,1,1,!P5one,"0,0,1",0,~ PLEASE WAIT,"1280,520,13",4000,*
3,26,13,2,1,!M7two,"0,0,1",0,#instructions,"880,520,14","rt: 25,16",*
3,27,14,1,1,!P5one,"0,0,1",0,~ PLEASE WAIT,"1280,520,14",4000,*
3,28,14,2,1,!TTtwo,"0,0,1",0,#instructions,"880,520,15","rt: 25,16",*
3,29,15,1,1,!P5one,"0,0,1",0,~ PLEASE WAIT,"1280,520,15",4000,*
3,30,15,2,1,!m2two,"0,0,1",0,#instructions,"880,520,16","rt: 25,16",*
4,31,16,1,1,!M6one,"0,0,1",0,~ PLEASE WAIT,"1280,520,16",4000,*
4,32,16,2,1,!P5two,"0,0,1",0,#instructions,"880,520,17","rt: 16,25",*
4,33,17,1,1,!M3one,"0,0,1",0,~ PLEASE WAIT,"1280,520,17",4000,*
4,34,17,2,1,!M6two,"0,0,1",0,#instructions,"880,520,18","rt: 16,25",*
4,35,18,1,1,!M3one,"0,0,1",0,~ PLEASE WAIT,"1280,520,18",4000,*
4,36,18,2,1,!P5two,"0,0,1",0,#instructions,"880,520,19","rt: 16,25",*
4,37,19,1,1,!P5one,"0,0,1",0,~ PLEASE WAIT,"1280,520,19",4000,*
4,38,19,2,1,!P5two,"0,0,1",0,#instructions,"880,520,20","rt: 16,25",*
4,39,20,1,1,!P5one,"0,0,1",0,~ PLEASE WAIT,"1280,520,20",4000,*
4,40,20,2,1,!M6two,"0,0,1",0,#instructions,"880,520,21","rt: 16,25",*
